0,1733608234.337805856
1,1733608234.354233593
2,1733608234.538178398
3,1733608234.738378910
4,1733608234.938229627
5,1733608235.138435170
6,1733608235.338480731
7,1733608235.538489592
8,1733608235.939498311
9,1733608236.140361328
10,1733608236.340314674
11,1733608236.540376418
12,1733608236.743792915
13,1733608236.751396553
14,1733608236.956491899
15,1733608237.146421684
16,1733608237.342472315
17,1733608237.566377057
18,1733608237.749599591
19,1733608237.947426036
20,1733608238.145383851
21,1733608238.354534044
22,1733608238.577032975
23,1733608238.749689581
24,1733608238.954441959
25,1733608239.168940199
26,1733608239.347407960
27,1733608239.552649742
28,1733608239.756788347
29,1733608239.969589882
30,1733608240.160510708
31,1733608240.356213732
32,1733608240.562055568
33,1733608240.964501289
34,1733608241.160225572
35,1733608241.363361365
36,1733608241.565449683
37,1733608241.762892222
38,1733608241.973376232
39,1733608242.161395590
40,1733608242.361356106
41,1733608242.561347694
42,1733608242.761343849
43,1733608242.961334258
44,1733608243.160563180
45,1733608243.379312879
46,1733608243.561351828
47,1733608243.761862856
48,1733608243.983417850
49,1733608244.165144654
50,1733608244.363225046
51,1733608244.363486600
52,1733608244.365015338
53,1733608244.563314145
54,1733608244.773677888
55,1733608244.774459303
56,1733608244.964220555
57,1733608245.164333484
58,1733608245.364543001
59,1733608245.564551908
60,1733608245.766178484
61,1733608245.966003041
62,1733608246.166157291
63,1733608246.366155605
64,1733608246.366496899
65,1733608246.566080876
66,1733608246.766621536
67,1733608246.966708531
68,1733608247.165687105
69,1733608247.365690771
70,1733608247.565705832
71,1733608247.782850284
72,1733608247.966865169
73,1733608248.192909840
74,1733608248.378086559
75,1733608248.578813957
76,1733608248.785500219
77,1733608248.983570985
78,1733608249.170633565
79,1733608249.374604753
80,1733608251.184037731
81,1733608251.590759839
82,1733608251.784654966
83,1733608253.588787840
84,1733608253.788889300
85,1733608253.988891315
86,1733608253.989054476
87,1733608254.189240745
88,1733608254.389371648
89,1733608254.589376283
90,1733608254.789363456
91,1733608254.989600873
92,1733608255.189706574
93,1733608255.391858078
94,1733608255.591780183
95,1733608255.791816588
96,1733608255.992553714
97,1733608256.192602288
98,1733608256.392603160
99,1733608256.592611795
100,1733608256.792600970
101,1733608256.993256841
102,1733608257.193367745
103,1733608257.393362627
104,1733608257.593773470
105,1733608257.793902945
106,1733608260.208966577
107,1733608260.408664717
108,1733608260.602654846
109,1733608260.817125882
110,1733608261.005962944
111,1733608261.206150023
112,1733608261.406201976
113,1733608261.646040935
114,1733608261.812382882
115,1733608262.014153441
116,1733608262.210913082
117,1733608264.026846546
118,1733608264.225282534
119,1733608264.424464738
120,1733608264.621087462
121,1733608264.818576844
122,1733608265.018704456
123,1733608265.218742658
124,1733608265.419753100
125,1733608265.624040543
126,1733608265.820124174
127,1733608266.020584850
128,1733608266.220598289
